Company,Address,Website,Business Type,Industry,Offer,Products,Email Address,Phone Number,Types of Workers Needed,Ratings of workers,Date Accessed,
Agrim Business Solution Limited,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),23-May-14,
Agri-Tec Ltd T/A Croft feed enterprises,Thirsk,,,Others,,,,, Skilled Worker,Worker (A rating),17-Sep-13,
Agrivert Limited,Gagingwell,,,"Water,Waste management",,,,, Skilled Worker,Worker (A rating),5-Jan-21,
Agriwebb UK Ltd,Belfast,,,Computer Programming,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",2-Jul-19,
AGS Airports Limited,Paisley,,,Management,,,,, Skilled Worker,Worker (A rating),7-Jan-20,
Agsenze Limited,Lancaster,,,Management,,,,, Skilled Worker,Worker (A rating),16-Oct-20,
AGSO INTERNATIONAL LAWYERS (UK) LTD,LONDON,,,Legal,,,,, Skilled Worker,Worker (A rating),5-Dec-19,
AGT Retail Limited,Tunbridge Wells,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
Aguaconsult Ltd,Wivenhoe,,,Management,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Agudas Israel Housing Association Ltd,London,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
AGW Heating Plumbing & Electrical Wholesaler Ltd,London,,,Wholesale & Retail,,,,,Skilled Worker,Worker (A rating),14-Sep-21,
AH INTERIOR (NELSON) LTD,Nelson,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),16-Dec-15,
AH technology Ltd t/a Klyk,London,,,Others,,,,,Skilled Worker,Worker (A rating),4-Mar-21,
AH UK Animal Health (PVT) Ltd,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",25-Feb-19,
Ahaa Dosa Ltd,London,,,Food & Accomodation,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Ahamraj Limited T/A Chilli Pickle,Brighton,,,Others,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
Ahara Group of Restaurants Pvt Ltd T/A Thattukada,London,,,Food & Accomodation,,,,,Skilled Worker,Worker (A rating),22-Mar-21,
Ahava Community,Romford,,,Religious,,,,,Voluntary Workers,Temporary Worker (A rating),31-Aug-21,
Ahaven Hotel ltd,Kirkcaldy,,,Food & Accomodation,,,,, Skilled Worker,Worker (A rating),16-Apr-15,
AHE Services Limited,Gillingham,,,Recruitment,,,,,Skilled Worker,Worker (A rating),20-May-21,
Ahli United Bank,London,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Ahli United Bank,London,,,Others,,,,, Intra-company Routes,Worker (A rating),31-Dec-20,
Ahlstrom-Munksjo Chirnside Limited,Duns,,,Manufacturing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",15-May-20,
Ahmad & Co Accountancy Ltd,MANCHESTER,,,Legal,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
Ahmad Tea Ltd,Eastleigh,,,Others,,,,, Skilled Worker,Worker (A rating),19-Feb-19,
Ahmadiyya Muslim Association UK,Surrey,,,Social Work,,,,," Religious Worker, Voluntary Workers, T2 Minister of Religion, Skilled Worker","Temporary Worker (A rating),Temporary Worker (A rating),Worker (A rating),Worker (A rating)",30-Dec-20,
Ahmadiyya Muslim Jamaat International,Wimbledon,,,Social Work,,,,," T2 Minister of Religion, Religious Worker, Voluntary Workers, Skilled Worker","Worker (A rating),Temporary Worker (A rating),Temporary Worker (A rating),Worker (A rating)",27-Nov-20,
Ahmed & Co,Harrow,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Ahmed & Gul Ltd T/A Bluebird Care,Luton,,,Others,,,,,Skilled Worker,Worker (A rating),19-Apr-21,
AHMED ESTATES (UK) LTD,Birmingham,,,Real estate,,,,,Skilled Worker,Worker (A rating),2-Mar-21,
Ahmed Financial Accountants,West Bromwich,,,Legal,,,,,Skilled Worker RWKHPHCX5,Worker (A rating),14-Jun-21,
AHMED MOTOR SERVICE & REPAIR LTD,Uckfield,,,Wholesale & Retail,,,,,Skilled Worker,Worker (A rating),30-Mar-21,
Ahmeys Ltd,Oxford,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),5-Jul-14,
AHR Group Limited,Huddersfield,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",19-Jul-19,
Ai Beauty LTD,London,,,Dental,,,,, Skilled Worker,Worker (A rating),20-Oct-20,
AI BUILD LIMITED,LONDON,,,Others,,,,, Skilled Worker,Worker (A rating),11-Apr-18,
AI Digital Limited,Lincoln,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),24-Jun-20,
AI Exchange Ltd,London,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),20-May-18,
AI Exploration Ltd,Westhill,,,Management,,,,, Skilled Worker,Worker (A rating),29-Apr-20,
AI Film Management Limited,London,,,Video or Music Production,,,,, Skilled Worker,Worker (A rating),8-May-14,
AI Labs,BRISTOL,,,Scientific Research,,,,,Skilled Worker,Worker (A rating),20-Sep-21,
AI Recruitment Technologies Limited,Knowsley,,,Recruitment,,,,, Skilled Worker,Worker (A rating),30-Mar-20,
AI4PROCESS LTD,LONDON,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),7-Sep-20,
AIAM LIMITED T/A ARIANA PHARMACY,GREENFORD,,,Others,,,,, Skilled Worker,Worker (A rating),24-Aug-17,
AIB Foods Limited,wolverhampton,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
AICS (Acquired Injury Care & Support) Ltd,85 Uxbridge Road,,,Social Work,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
AIDA S.r.l.,Derby,,,Others,,,,, Intra-company Routes,Worker (A rating),11-Nov-15,
Aidhan Accountancy (Aidhan Financial Services Ltd),London,,,Others,,,,, Skilled Worker,Worker (A rating),3-May-14,
AIDRIVERS LTD,UXBRIDGE,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),31-Dec-20,
AIESEC UK Ltd,London,,,Others,,,,," Voluntary Workers, Government Authorised Exchange, Skilled Worker","Temporary Worker (A rating),Temporary Worker (A rating),Worker (A rating)",4-Aug-13,
AIEVE LTD,COVENTRY,,,Software Publishing,,,,, Skilled Worker,Worker (A rating),14-Aug-18,
AIG Asset Management (Europe) Limited,London,,,"Finance,Insurance",,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
AIG Edenspiekermann Ltd,London,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Aigburth Community Church,Liverpool,,,Others,,,,, Religious Worker,Temporary Worker (A rating),10-Jun-16,
Aigenpulse Limited,London,,,Computer Programming,,,,,Skilled Worker T5573DDCX,Worker (A rating),18-Jun-21,
Aiimi Ltd,Milton Keynes,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
Aiken Promotions Ltd.,Belfast,,,"Arts ,Entertainment",,,,, Creative & Sporting,Temporary Worker (A rating),4-Aug-13,
AIM Altitude Limited,Christchurch,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",2-Jan-18,
AIM RX Ltd,Widnes,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),14-Jun-17,
AI-Media UK B Ltd,London,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",28-Aug-20,
AIMG UK Limited,London,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",7-Aug-18,
Aimia Services UK Limited,London,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",27-Mar-18,
Aimmune Therapeutics UK Ltd,London,,,Manufacturing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",12-Aug-19,
AIMS Markets Limited,London,,,Administrative and support,,,,,Skilled Worker,Worker (A rating),10-Sep-21,
Aingaran Somasuntharam T/A Acwin Enterprise,Manchester,,,Others,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
Ainon Baptist Church,Cardiff,,,Others,,,,, Voluntary Workers,Temporary Worker (A rating),27-Jan-20,
Ainsdale Court,St Helens,,,Others,,,,,Skilled Worker,Worker (A rating),19-Apr-21,
AINSDALE CRICKET CLUB,SOUTHPORT,,,Others,,,,, Creative & Sporting,Temporary Worker (A rating),20-Mar-20,
Ainsley Harris Limited,High Wycombe,,,Legal,,,,, Skilled Worker,Worker (A rating),3-May-18,
AIO Partners Ltd,Leicester,,,Vetenary,,,,,Skilled Worker,Worker (A rating),22-Feb-21,
Aioi Nissay Dowa Insurance Management Limited,London,,,Recruitment,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",11-May-20,
AIPF Ltd,Southampton,,,Real estate,,,,, Skilled Worker,Worker (A rating),23-Jun-17,
Aiphone UK Limited,London,,,Wholesale & Retail,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",25-Aug-15,
AiQ Consulting Ltd,Hounslow,,,Management,,,,, Skilled Worker,Worker (A rating),9-Nov-16,
Air Algerie,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
AIR Architects Ltd,London,,,Architecture,,,,, Skilled Worker,Worker (A rating),27-Jan-20,
Air Cargo Ltd,Colnbrook,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Air Charter Service Plc,Surbiton,,,Transportation & Storage,,,,, Intra-company Routes,Worker (A rating),17-Nov-14,
Air China Limited,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
AIR FOR LIFE UK LTD,MILTON KEYNES,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),25-Jul-19,
Air India,Brentford,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Air International Thermal (United Kingdom) Limited,London,,,Architecture,,,,, Skilled Worker,Worker (A rating),7-Jul-17,
Air Liquide UK Ltd,Birmingham,,,Manufacturing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Air Navigation Solutions Limited,Gatwick Airport,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",21-Sep-17,
Air One Aviation Ltd,Kingston-Upon-Thames,,,Transportation & Storage,,,,,Skilled Worker,Worker (A rating),10-May-21,
Air Partner PLC,Gatwick,,,Transportation & Storage,,,,, Skilled Worker,Worker (A rating),27-Mar-18,
Air Products Plc,Walton-On-Thames,,,Manufacturing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
AIR Studios (Lyndhurst) Ltd,London,,,Video or Music Production,,,,, Skilled Worker,Worker (A rating),1-Aug-17,
AIR Worldwide Ltd,London,,,Management,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Airas Intersoft Limited,Stratford,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),23-Sep-15,
Airbiquity Europe Ltd,London,,,Software Publishing,,,,, Skilled Worker,Worker (A rating),3-May-14,
AIRBIZ AVIATION STRATEGIES LIMITED,Berkshire,,,Management,,,,, Intra-company Routes,Worker (A rating),3-Feb-20,
Airbnb UK Limited,London,,,Food & Accomodation,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Airborne Robotics Limited,Salisbury,,,Management,,,,,Skilled Worker,Worker (A rating),19-Aug-21,
Airbus Defence and Space Limited,Portsmouth,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),25-Sep-14,
Airbus Helicopters UK Limited,Kidlington,,,Manufacturing,,,,,"Intra-company Routes,Skilled Worker","Worker (A rating),Worker (A rating)",25-Mar-21,
Airbus Operations Limited,Bristol,,,Manufacturing,,,,," International Agreements, Skilled Worker, Intra-company Routes","Temporary Worker (A rating),Worker (A rating),Worker (A rating)",4-Aug-13,
AIRCOM International Ltd,Leatherhead,,,"IT,Telecommunication",,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Aircraft Engineering Services Limited,Stansted,,,Manufacturing,,,,,Skilled Worker,Worker (A rating),19-Apr-21,
Aircraft Leasing & Management Limited,Crawley,,,Transportation & Storage,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",24-Sep-14,
Airdrieonians FC,Airdrie,,,"Arts ,Entertainment",,,,,T2 Sportsperson,Worker (A rating),15-Feb-21,
Aire Ancient Baths London Ltd,London,,,"Arts ,Entertainment",,,,,"Intra-company Routes CWRY1G900,Skilled Worker CWRY1G900","Worker (A rating),Worker (A rating)",11-Jun-21,
Aire Labs Ltd.,London,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),22-Mar-21,
AIRE VALLEY FROZEN FOODS LIMITED,Keighley,,,Wholesale & Retail,,,,,Skilled Worker,Worker (A rating),18-Feb-21,
Airedale International Air Conditioning Ltd,Leeds,,,Manufacturing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Airedale NHS Foundation Trust,Keighley,,,Others,,,,, Skilled Worker,Worker (A rating),9-Jul-14,
AirEnergy NI Ltd,Belfast,,,Management,,,,, Skilled Worker,Worker (A rating),14-Sep-18,
Airline Tariff Publishing Company (ATPCO),London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",6-Sep-19,
Airport Business Centre Limited,Plymouth,,,Real estate,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
Airship Images Limited,Lytham St. Annes,,,"Arts ,Entertainment",,,,,Skilled Worker,Worker (A rating),10-Mar-21,
Airsource Ltd.,Cambridge,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),26-Jun-15,
Airspan Communications Limited,Slough,,,"IT,Telecommunication",,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",1-Mar-17,
Airtel Africa plc,London,,,"Finance,Insurance",,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",30-Jan-20,
AirTies (UK) Limited,Brentwood,,,Administrative and support,,,,,"Intra-company Routes,Skilled Worker","Worker (A rating),Worker (A rating)",9-Aug-21,
Airtily Limited,Edinburgh,,,Management,,,,,Skilled Worker,Worker (A rating),8-Sep-21,
Airts Consulting Limited,Edinburgh,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),17-Aug-20,
Airwair International Ltd,Wollaston,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),3-May-16,
Airwallex (UK) Limited,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",12-Apr-19,
Airwars,London,,,Others,,,,, Skilled Worker,Worker (A rating),24-Oct-19,
AIRX TECHNOLOGIES LIMITED,London,,,"IT,Telecommunication",,,,, Skilled Worker,Worker (A rating),5-Mar-20,
AIS Consulting UK Ltd,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
AIS Wind Energy Ltd,WIGAN,,,Manufacturing,,,,,Skilled Worker,Worker (A rating),19-Apr-21,
AISH HATORAH UK LIMITED,LONDON,,,Education,,,,," T2 Minister of Religion, Religious Worker, Skilled Worker","Worker (A rating),Temporary Worker (A rating),Worker (A rating)",4-Aug-13,
Aisin Europe Manufacturing (UK) Limited,Birmingham,,,Manufacturing,,,,, Intra-company Routes,Worker (A rating),4-Aug-13,
Aismare Limited,London,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),15-Dec-17,
AiSolve Limited,Luton,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),3-May-14,
Aistemos Limited,London,,,"IT,Telecommunication",,,,, Skilled Worker,Worker (A rating),27-Mar-18,
Aistetic Limited,Oxford,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
Aitipeople Ltd. t/a Convedo UK,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
Aiveda Ltd,Stanmore,,,Social Work,,,,, Skilled Worker,Worker (A rating),16-Nov-17,
AIVHUB Ltd,Reading,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),1-Nov-19,
AIVIVO Ltd.,Cambridge,,,Management,,,,, Skilled Worker,Worker (A rating),20-Dec-19,
AIX Consultancy Ltd,Cambridge,,,Management,,,,,Skilled Worker,Worker (A rating),5-May-21,
AIXTRON Limited,Swavesey,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),27-Nov-17,
AIZE UK LIMITED,Aberdeen,,,Computer Programming,,,,,"Intra-company Routes,Skilled Worker","Worker (A rating),Worker (A rating)",28-Jul-21,
AJ Mobility & Training Services Limited,Mitcham,,,Rental,,,,, Skilled Worker,Worker (A rating),18-Jun-20,
AJ Mobility Limited,Hailsham,,,Others,,,,, Skilled Worker,Worker (A rating),7-Dec-18,
AJ RESTAURANTS LIMITED,LONDON,,,Food & Accomodation,,,,, Skilled Worker,Worker (A rating),10-Mar-20,
AJ Software Consulting Solution Limited,Welling,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),24-May-21,
AJA Architects LLP,Coventry,,,Others,,,,, Skilled Worker,Worker (A rating),16-Aug-18,
AJA.LA STUDIOS LTD,RICHMOND,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),27-Apr-18,
AJAR-tec Limited,Brentford,,,Others,,,,, Skilled Worker,Worker (A rating),3-May-14,
AJB LOCAL LTD,LONDON,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
AJE INFRASTRUCTURE SERVICES LIMITED,LONDON,,,Construction,,,,, Skilled Worker,Worker (A rating),29-Apr-16,
Ajinomoto Foods Europe S.A.S. London Branch,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",5-Apr-16,
Ajouve Limited,London,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),21-Aug-20,
AJSL Construction Limited,Milton Keynes,,,Construction,,,,, Skilled Worker,Worker (A rating),15-Aug-18,
AK Builders Merchants Limited,Hayes,,,Wholesale & Retail,,,,,Skilled Worker,Worker (A rating),25-Aug-21,
AK Optical Limited,ASHFORD,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),16-Oct-18,
AK Pharma Ltd,willand,,,Social Work,,,,,Skilled Worker,Worker (A rating),28-Jul-21,
AK Well Services Limited,Westhill,,,Others,,,,, Skilled Worker,Worker (A rating),1-Jun-18,
AKA Promotions Limited,London,,,Advertising,,,,, Skilled Worker,Worker (A rating),9-Oct-18,
"AKA, Chartered Accountants",BIRMINGHAM,,,Others,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
AKAM CARE LIMITED (Business Address),by Achnasheen,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Akamai Technologies Limited,London,,,Computer Programming,,,,,"Skilled Worker,Intra-company Routes","Worker (A rating),Worker (A rating)",19-Apr-21,
Akari Care Limited,Leeds,,,Others,,,,, Skilled Worker,Worker (A rating),28-Dec-17,
Akbar Balti Restaurant Ltd,Bradford,,,Food & Accomodation,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
AKD Facilities Management Limited,Slough,,,Security,,,,, Skilled Worker,Worker (A rating),19-Sep-14,
Akelius Residential Limited,London,,,Real estate,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",2-Jan-14,
Aker Solutions Ltd,Aberdeen,,,Manufacturing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",15-Jun-16,
AKG Trading (UK) Ltd,Northampton,,,Manufacturing,,,,, Intra-company Routes,Worker (A rating),21-Mar-15,
Akhil Tech Limited,Tunbridge Wells,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),8-Sep-20,
Akhter Group plc,Harlow,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Akin Gump Strauss Hauer & Feld,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Akira Partners LLP,London,,,Others,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Akiva School,London,,,Others,,,,, Skilled Worker,Worker (A rating),4-Nov-20,
Akixi Limited,Crawley,,,"IT,Telecommunication",,,,, Skilled Worker,Worker (A rating),22-Dec-13,
AKKA Development UK Limited,Bristol,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Akkar Limited,Brighton,,,Recruitment,,,,,Skilled Worker NY0067BT6,Worker (A rating),7-Jun-21,
Akoni Technologies Ltd.,Reading,,,Software Publishing,,,,, Skilled Worker,Worker (A rating),20-May-20,
Akoova Ltd,London,,,"IT,Telecommunication",,,,,Skilled Worker,Worker (A rating),31-Aug-21,
AKQA Ltd,London,,,Advertising,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",4-Aug-13,
Akram Khan Dance Company,London,,,"Arts ,Entertainment",,,,," Creative & Sporting, Skilled Worker","Temporary Worker (A rating),Worker (A rating)",4-Aug-13,
AKRO PHARMACEUTICAL CO LTD,LONDON,,,Wholesale & Retail,,,,,Skilled Worker,Worker (A rating),11-Aug-21,
AKSHARA INFOTEX LTD,Nottingham,,,Computer Programming,,,,,Skilled Worker,Worker (A rating),19-May-21,
Aksia Europe Ltd,London,,,"Finance,Insurance",,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",27-Oct-14,
AKSOY FACADES UK LTD,London,,,Construction,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",18-Jun-18,
AKST Limited,Leeds,,,"IT,Telecommunication",,,,, Skilled Worker,Worker (A rating),9-Jul-19,
AKST Solution Pvt Limited,Hornchurch,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),23-May-19,
AKT II Ltd,London,,,Architecture,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Aktis Intelligence Group Limited,London,,,Management,,,,, Skilled Worker,Worker (A rating),23-May-19,
Akula Solutions Limited,Hayes,,,Computer Programming,,,,, Skilled Worker,Worker (A rating),20-Apr-20,
AKW Medi-Care Ltd,Droitwich Spa,,,Dental,,,,, Skilled Worker,Worker (A rating),23-Mar-20,
AKWEL BIRMINGHAM UK Limited,Sutton Coldfield,,,Manufacturing,,,,,Intra-company Routes,Worker (A rating),15-Feb-21,
AKWEL Chippenham UK Ltd,Chippenham,,,Manufacturing,,,,, Skilled Worker,Worker (A rating),21-Aug-20,
AL AMIN WHOLESALE LTD,BIRMINGHAM,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),27-Nov-20,
Al Arqam,Ltuon,,,Others,,,,," T2 Minister of Religion, Religious Worker","Worker (A rating),Temporary Worker (A rating)",24-Sep-19,
AL BADER LOUNGE LTD T/A AL BADER LOUNGE,BIRMINGHAM,,,Others,,,,, Skilled Worker,Worker (A rating),6-Feb-18,
Al Falaah Ltd t/a Indian Rassasy Restaurant,Bristol,,,Others,,,,,Skilled Worker,Worker (A rating),10-Sep-21,
Al Habib Islamic Educational and Cultural Centre,Swindon,,,Others,,,,," T2 Minister of Religion, Religious Worker","Worker (A rating),Temporary Worker (A rating)",4-Aug-13,
Al Khidmah Tours Ltd,London,,,Travel and Tourism,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
Al Muntada Al Islami Trust,London,,,Others,,,,," T2 Minister of Religion, Skilled Worker","Worker (A rating),Worker (A rating)",4-Aug-13,
Al Mustafa Welfare Trust International Ltd,Hounslow,,,Social Work,,,,," Voluntary Workers, Skilled Worker","Temporary Worker (A rating),Worker (A rating)",11-Sep-18,
Al Rayan Bank PLC,Birmingham,,,"Finance,Insurance",,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",19-Jan-15,
Al Raza Foundation,Manchester,,,Others,,,,," T2 Minister of Religion, Religious Worker","Worker (A rating),Temporary Worker (A rating)",4-Aug-13,
AL SADIQ ACADEMY UK,Manchester,,,Others,,,,, Religious Worker,Temporary Worker (A rating),17-Nov-17,
AL SHIRA-AA FARMS LIMITED,GODALMING,,,Agriculture,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",22-Apr-20,
ALACHI INDIAN RESTAURANT HULL LTD.,Hull,,,Food & Accomodation,,,,,Skilled Worker 8FRN8QBK3,Worker (A rating),2-Jun-21,
Alain Charles Publishing Limited,London,,,Publishing,,,,, Skilled Worker,Worker (A rating),4-Aug-13,
Alam and Brothers Limited T/A The Royal Spice,Wales,,,Others,,,,,Skilled Worker,Worker (A rating),17-Feb-21,
ALAM BIRMINGHAM LTD,BIRMINGHAM,,,Others,,,,, Skilled Worker,Worker (A rating),20-Mar-19,
AL-AMIN FOODSTORE LTD T/A AL-AMIN FOODSTORE,Hyde,,,Others,,,,,Skilled Worker,Worker (A rating),15-Feb-21,
Alan Baxter Partnership LLP,Maidstone,,,Others,,,,, Skilled Worker,Worker (A rating),3-Nov-14,
Alan Bearman Music,London,,,Others,,,,, Creative & Sporting,Temporary Worker (A rating),4-Aug-13,
Alan Blunden & Co Ltd,Southend on Sea,,,"Finance,Insurance",,,,, Skilled Worker,Worker (A rating),10-Oct-15,
Alan Boyd Consultants Ltd,Crewe,,,Social Work,,,,,Skilled Worker,Worker (A rating),3-Mar-21,
ALAN HENNESSEY ACCOUNTANTS & TAX ADVISERS LIMITED,BENFLEET,,,Legal,,,,, Skilled Worker,Worker (A rating),25-Jun-20,
Alan Oxford Road t/a Red Chilli Oxford Road,Manchester,,,Others,,,,, Skilled Worker,Worker (A rating),22-Jul-19,
Alan White Design Ltd,Kilmarnock,,,Others,,,,, Skilled Worker,Worker (A rating),23-Oct-18,
Alan York Limited t/a Red Chilli York,York,,,Others,,,,, Skilled Worker,Worker (A rating),30-Dec-20,
Alana AI Limited,London,,,Computer Programming,,,,,Skilled Worker BHXVXKYJ0,Worker (A rating),2-Jun-21,
Alandale Logistics Ltd,London,,,Construction,,,,, Skilled Worker,Worker (A rating),15-Apr-15,
Alans (Wigan) Ltd,Wigan,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),3-May-14,
Alantra Corporate Portfolio Advisors International Limited,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",12-Sep-18,
Al-Aqsa Supermarkets Ltd T/A Market Asia,Scunthorpe,,,Others,,,,,Skilled Worker QX02NXJB3,Worker (A rating),26-May-21,
Alara Trading Limited,London,,,Wholesale & Retail,,,,, Skilled Worker,Worker (A rating),21-Dec-17,
Alaraby Television Network Limited,London,,,Others,,,,, Skilled Worker,Worker (A rating),17-Oct-17,
Alasdair Cameron Limited,London,,,Administrative and support,,,,, Skilled Worker,Worker (A rating),10-Feb-20,
Alasdair Good Ltd,GULLANE,,,"Arts ,Entertainment",,,,,Skilled Worker,Worker (A rating),28-Jul-21,
Alatas UK Limited,Bradford,,,Manufacturing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",6-Feb-16,
ALB ACCOUNTING LTD,London,,,Legal,,,,, Skilled Worker,Worker (A rating),3-May-14,
Alba Bioscience Limited (T/A Quotient),Penicuik,,,Manufacturing,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",13-May-19,
Alba Chiropractic Clinic,Dundee,,,Others,,,,, Skilled Worker,Worker (A rating),8-Nov-14,
Alba DeWatering Services Ltd,Derby,,,Construction,,,,,Skilled Worker,Worker (A rating),16-Sep-21,
AlbaCore Capital LLP,London,,,Others,,,,," Skilled Worker, Intra-company Routes","Worker (A rating),Worker (A rating)",24-Oct-16,
Alban Academies Trust,St Albans,,,Education,,,,, Skilled Worker,Worker (A rating),17-Jun-19,
Albany,IBSTONE,,,Others,,,,,Skilled Worker,Worker (A rating),17-Feb-21,
